File type	File format type	Output type	File assembly	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Experiment target	Library made from	Experiment date released	Project	File download URL
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens	NA	NA	NA	NA	NA	DNA	2020-08-17	ENCODE	https://www.encodeproject.org/files/ENCFF947DKR/@@download/ENCFF947DKR.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF561-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF701RWL/@@download/ENCFF701RWL.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF492DSN/@@download/ENCFF492DSN.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZFP36L2-human	DNA	2020-07-09	ENCODE	https://www.encodeproject.org/files/ENCFF320EKJ/@@download/ENCFF320EKJ.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	RAD21-human	DNA	2020-07-09	ENCODE	https://www.encodeproject.org/files/ENCFF617LWF/@@download/ENCFF617LWF.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF502ICB/@@download/ENCFF502ICB.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	rpc-1-celegans	DNA	2018-01-22	modENCODE	https://www.encodeproject.org/files/ENCFF924VCM/@@download/ENCFF924VCM.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF776QKF/@@download/ENCFF776QKF.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ERF-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF462ZIG/@@download/ENCFF462ZIG.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG17385-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF993AQH/@@download/ENCFF993AQH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000451	dendritic cell	in vitro differentiated cells	Homo sapiens	lipopolysaccharide	NA	NA	NA	NA	DNA	2017-01-19	GGR	https://www.encodeproject.org/files/ENCFF515SJI/@@download/ENCFF515SJI.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	Y55F3AM.14-celegans	DNA	2018-03-01	modERN	https://www.encodeproject.org/files/ENCFF344AZF/@@download/ENCFF344AZF.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010851	HG02852	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF594ZAI/@@download/ENCFF594ZAI.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002113	kidney	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-06-30	ENCODE	https://www.encodeproject.org/files/ENCFF455WGW/@@download/ENCFF455WGW.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010869	HG03108	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF876EEH/@@download/ENCFF876EEH.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	jigr1-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF478ABN/@@download/ENCFF478ABN.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	NTR:0000662	stimulated activated memory B cell	primary cell	Homo sapiens	anti-IgM, anti-CD40, Interleukin-4	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF178DTJ/@@download/ENCFF178DTJ.bed.gz
bed	narrowPeak	replicated peaks	GRCh38	ATAC-seq	NTR:0000635	activated T-helper 17 cell	primary cell	Homo sapiens	Interleukin-2, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	NA	DNA	2021-10-13	ENCODE	https://www.encodeproject.org/files/ENCFF123QHV/@@download/ENCFF123QHV.bed.gz
bed	narrowPeak	replicated peaks	GRCh38	ATAC-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2022-04-26	ENCODE	https://www.encodeproject.org/files/ENCFF055NNT/@@download/ENCFF055NNT.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	TCF3-human	DNA	2020-06-30	ENCODE	https://www.encodeproject.org/files/ENCFF902EKZ/@@download/ENCFF902EKZ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0005332	GM18505	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF376BWJ/@@download/ENCFF376BWJ.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002113	kidney	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-06-08	ENCODE	https://www.encodeproject.org/files/ENCFF363BOC/@@download/ENCFF363BOC.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	F13C5.2-celegans	DNA	2017-11-06	modERN	https://www.encodeproject.org/files/ENCFF806KUW/@@download/ENCFF806KUW.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000788	naive B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF839DEM/@@download/ENCFF839DEM.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	sqz-dmelanogaster	DNA	2018-02-06	modERN	https://www.encodeproject.org/files/ENCFF383MZV/@@download/ENCFF383MZV.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	Xrp1-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF373ZJR/@@download/ENCFF373ZJR.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	T23F11.4-celegans	DNA	2018-03-01	modERN	https://www.encodeproject.org/files/ENCFF704CKL/@@download/ENCFF704CKL.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0000948	heart	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF132BTX/@@download/ENCFF132BTX.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010862	HG03045	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-10	ENCODE	https://www.encodeproject.org/files/ENCFF935BZV/@@download/ENCFF935BZV.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	EFO:0005914	ZHBTc4	cell line	Mus musculus	doxycycline hyclate	NA	NA	NA	NA	DNA	2020-07-28	ENCODE	https://www.encodeproject.org/files/ENCFF006WRK/@@download/ENCFF006WRK.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	atf-7-celegans	DNA	2017-11-06	modERN	https://www.encodeproject.org/files/ENCFF357FWV/@@download/ENCFF357FWV.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF927GAF/@@download/ENCFF927GAF.bed.gz
bed	narrowPeak	IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	dmd-8-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF491PZN/@@download/ENCFF491PZN.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	ztf-1-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF113TCD/@@download/ENCFF113TCD.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000623	natural killer cell	primary cell	Homo sapiens	Interleukin-12 subunit beta, Interleukin-15, Interleukin-12 subunit alpha, Interleukin-18	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF986KHO/@@download/ENCFF986KHO.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0000948	heart	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-06-30	ENCODE	https://www.encodeproject.org/files/ENCFF675GRT/@@download/ENCFF675GRT.bed.gz
bed	narrowPeak	replicated peaks	GRCh38	ATAC-seq	NTR:0000661	stimulated activated naive B cell	primary cell	Homo sapiens	anti-CD40, anti-IgM, Interleukin-4	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF587QZR/@@download/ENCFF587QZR.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0001264	pancreas	tissue	Homo sapiens	NA	NA	NA	NA	H3K27me3-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF635JIA/@@download/ENCFF635JIA.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	UBERON:0008450	psoas muscle	tissue	Homo sapiens	NA	NA	NA	NA	NA	DNA	2020-08-20	ENCODE	https://www.encodeproject.org/files/ENCFF615ZFR/@@download/ENCFF615ZFR.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ELK3-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF198NGY/@@download/ENCFF198NGY.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0010875	HG03280	cell line	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-02-11	ENCODE	https://www.encodeproject.org/files/ENCFF817JLB/@@download/ENCFF817JLB.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0003045	H9	cell line	Homo sapiens	NA	NA	NA	NA	H3K4me3-human	DNA	2020-09-06	ENCODE	https://www.encodeproject.org/files/ENCFF464FFZ/@@download/ENCFF464FFZ.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG1529-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF986EKN/@@download/ENCFF986EKN.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	UBERON:0001515	thoracic aorta	tissue	Homo sapiens	NA	NA	NA	NA	NA	DNA	2017-06-21	ENCODE	https://www.encodeproject.org/files/ENCFF256ENN/@@download/ENCFF256ENN.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	NTR:0000668	stimulated activated effector memory CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	Interleukin-12 subunit beta, Interleukin-12 subunit alpha, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF547LIL/@@download/ENCFF547LIL.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	Sry-β-dmelanogaster	DNA	2018-02-06	modERN	https://www.encodeproject.org/files/ENCFF566AND/@@download/ENCFF566AND.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG10348-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF720KMA/@@download/ENCFF720KMA.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	CBFB-human	DNA	2020-07-08	ENCODE	https://www.encodeproject.org/files/ENCFF802NHC/@@download/ENCFF802NHC.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens	NA	NA	NA	NA	H3K4me3-human	DNA	2016-10-19	ENCODE	https://www.encodeproject.org/files/ENCFF948FXU/@@download/ENCFF948FXU.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0003045	H9	cell line	Homo sapiens	NA	NA	NA	NA	H3K27me3-human	DNA	2022-08-25	ENCODE	https://www.encodeproject.org/files/ENCFF523REH/@@download/ENCFF523REH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0002824	HCT116	cell line	Homo sapiens	5-Phenyl-1H-indole-3-acetic acid	CRISPR	insertion	/genes/17/	NA	DNA	2021-09-20	ENCODE	https://www.encodeproject.org/files/ENCFF109OTW/@@download/ENCFF109OTW.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens	NA	NA	NA	NA	POLR2AphosphoS5-human	DNA	2012-02-29	ENCODE	https://www.encodeproject.org/files/ENCFF292CFA/@@download/ENCFF292CFA.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	THAP12-human	DNA	2021-06-10	ENCODE	https://www.encodeproject.org/files/ENCFF206LMB/@@download/ENCFF206LMB.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens	NA	NA	NA	NA	EP300-human	DNA	2012-08-20	ENCODE	https://www.encodeproject.org/files/ENCFF163XCA/@@download/ENCFF163XCA.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	HMG20A-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF118ATD/@@download/ENCFF118ATD.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens	all-trans-retinoic acid	CRISPR	insertion	NA	TOX2-human	DNA	2020-07-07	ENCODE	https://www.encodeproject.org/files/ENCFF035QJG/@@download/ENCFF035QJG.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	UBERON:0002046	thyroid gland	tissue	Homo sapiens	NA	NA	NA	NA	POLR2A-human	DNA	2017-01-30	ENCODE	https://www.encodeproject.org/files/ENCFF770ENO/@@download/ENCFF770ENO.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0003045	H9	cell line	Homo sapiens	NA	NA	NA	NA	H3K27me3-human	DNA	2021-05-14	ENCODE	https://www.encodeproject.org/files/ENCFF214VRN/@@download/ENCFF214VRN.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	TBPL1-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF927NEU/@@download/ENCFF927NEU.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002046	thyroid gland	tissue	Homo sapiens	NA	NA	NA	NA	H3K36me3-human	DNA	2016-11-07	ENCODE	https://www.encodeproject.org/files/ENCFF331VLX/@@download/ENCFF331VLX.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens	NA	NA	NA	NA	H3K9me3-human	DNA	2021-09-21	ENCODE	https://www.encodeproject.org/files/ENCFF747QTY/@@download/ENCFF747QTY.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	Taf1-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF826POV/@@download/ENCFF826POV.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2021-05-06	ENCODE	https://www.encodeproject.org/files/ENCFF761QUK/@@download/ENCFF761QUK.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002107	liver	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2020-10-07	ENCODE	https://www.encodeproject.org/files/ENCFF241MSI/@@download/ENCFF241MSI.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens	NA	NA	NA	NA	H3K9me3-human	DNA	2022-06-09	ENCODE	https://www.encodeproject.org/files/ENCFF783WEE/@@download/ENCFF783WEE.bed.gz
