File type,File format type,Output type,File assembly,Assay,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample genetic modifications methods,Biosample genetic modifications categories,Experiment target,Library made from,Experiment date released,Project,Lab,File download URL
bigWig,,minus strand signal of all reads,GRCh38,microRNA-seq,ovary,tissue,Homo sapiens,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF988TUL/@@download/ENCFF988TUL.bigWig
tsv,,microRNA quantifications,GRCh38,microRNA-seq,kidney,tissue,Homo sapiens,,,,,miRNA,2020-09-24,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF399REE/@@download/ENCFF399REE.tsv
bigWig,,minus strand signal of all reads,GRCh38,microRNA-seq,kidney,tissue,Homo sapiens,,,,,miRNA,2020-09-24,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF980POF/@@download/ENCFF980POF.bigWig
bigWig,,plus strand signal of all reads,GRCh38,microRNA-seq,kidney,tissue,Homo sapiens,,,,,miRNA,2020-09-24,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF213ROL/@@download/ENCFF213ROL.bigWig
tsv,,transcript quantifications,GRCh38,long read RNA-seq,MCF-7,cell line,Homo sapiens,,,,,polyadenylated mRNA,2021-02-20,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF390CLZ/@@download/ENCFF390CLZ.tsv
tsv,,transcript quantifications,GRCh38,long read RNA-seq,heart left ventricle,tissue,Homo sapiens,,,,,polyadenylated mRNA,2021-02-20,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF878WXP/@@download/ENCFF878WXP.tsv
bigWig,,minus strand signal of unique reads,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF891OPP/@@download/ENCFF891OPP.bigWig
tsv,,gene quantifications,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF556BPE/@@download/ENCFF556BPE.tsv
bigWig,,plus strand signal of unique reads,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF986XWH/@@download/ENCFF986XWH.bigWig
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF652YUK/@@download/ENCFF652YUK.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF322DEU/@@download/ENCFF322DEU.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF876EFK/@@download/ENCFF876EFK.tsv
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF911JMW/@@download/ENCFF911JMW.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF553YAN/@@download/ENCFF553YAN.bigWig
bigWig,,minus strand signal of unique reads,hg19,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF694ZMA/@@download/ENCFF694ZMA.bigWig
bigWig,,plus strand signal of unique reads,hg19,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF942OYD/@@download/ENCFF942OYD.bigWig
bigWig,,minus strand signal of unique reads,hg19,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF083SGP/@@download/ENCFF083SGP.bigWig
bigWig,,plus strand signal of unique reads,hg19,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF369LLY/@@download/ENCFF369LLY.bigWig
tsv,,gene quantifications,hg19,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF879PGY/@@download/ENCFF879PGY.tsv
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF671FMA/@@download/ENCFF671FMA.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF102MCG/@@download/ENCFF102MCG.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,HepG2,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF297PME/@@download/ENCFF297PME.tsv
bigWig,,signal p-value,GRCh38,TF ChIP-seq,adrenal gland,tissue,Homo sapiens,,,,CTCF-human,DNA,2018-12-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF221QVE/@@download/ENCFF221QVE.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,adrenal gland,tissue,Homo sapiens,,,,CTCF-human,DNA,2018-12-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF345BDJ/@@download/ENCFF345BDJ.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,adrenal gland,tissue,Homo sapiens,,,,CTCF-human,DNA,2018-12-14,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF723HUU/@@download/ENCFF723HUU.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,repo-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF133DVJ/@@download/ENCFF133DVJ.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,repo-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF224YHJ/@@download/ENCFF224YHJ.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,athp-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF189IRK/@@download/ENCFF189IRK.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,athp-1-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF087FOX/@@download/ENCFF087FOX.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,esophagus muscularis mucosa,tissue,Homo sapiens,,,,H3K36me3-human,DNA,2019-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF417OVQ/@@download/ENCFF417OVQ.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,esophagus muscularis mucosa,tissue,Homo sapiens,,,,H3K36me3-human,DNA,2019-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF677RFQ/@@download/ENCFF677RFQ.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,esophagus muscularis mucosa,tissue,Homo sapiens,,,,H3K36me3-human,DNA,2019-09-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF452YGH/@@download/ENCFF452YGH.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,pha-2-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF513HQI/@@download/ENCFF513HQI.bed.gz
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,pha-2-celegans,DNA,2017-11-06,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF897MUW/@@download/ENCFF897MUW.bigBed
bigWig,,minus strand signal of unique reads,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF351XBG/@@download/ENCFF351XBG.bigWig
tsv,,gene quantifications,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF698CEX/@@download/ENCFF698CEX.tsv
bigWig,,plus strand signal of unique reads,GRCh38,polyA plus RNA-seq,A549,cell line,Homo sapiens,dexamethasone,,,,polyadenylated mRNA,2017-10-19,GGR,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF590WZQ/@@download/ENCFF590WZQ.bigWig
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF281OKV/@@download/ENCFF281OKV.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF492YHR/@@download/ENCFF492YHR.tsv
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,,polyadenylated mRNA,2017-12-09,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF092SBO/@@download/ENCFF092SBO.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,esophagus squamous epithelium,tissue,Homo sapiens,,,,H3K9me3-human,DNA,2019-09-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF986OPB/@@download/ENCFF986OPB.bigBed
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,esophagus squamous epithelium,tissue,Homo sapiens,,,,H3K9me3-human,DNA,2019-09-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF854FHY/@@download/ENCFF854FHY.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,esophagus squamous epithelium,tissue,Homo sapiens,,,,H3K9me3-human,DNA,2019-09-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF757KYK/@@download/ENCFF757KYK.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF230KBG/@@download/ENCFF230KBG.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF103FLW/@@download/ENCFF103FLW.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,skin epidermis,tissue,Homo sapiens,,,,H3K27ac-human,DNA,2020-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF924QWP/@@download/ENCFF924QWP.bigBed
bigWig,,read-depth normalized signal,GRCh38,DNase-seq,MCF 10A,cell line,Homo sapiens,tamoxifen,,,,DNA,2018-01-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF230JUW/@@download/ENCFF230JUW.bigWig
bed,narrowPeak,peaks,GRCh38,DNase-seq,MCF 10A,cell line,Homo sapiens,tamoxifen,,,,DNA,2018-01-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF058FXW/@@download/ENCFF058FXW.bed.gz
bigBed,narrowPeak,peaks,GRCh38,DNase-seq,MCF 10A,cell line,Homo sapiens,tamoxifen,,,,DNA,2018-01-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF956TSB/@@download/ENCFF956TSB.bigBed
bigWig,,minus strand signal of all reads,mm10,microRNA-seq,layer of hippocampus,tissue,Mus musculus,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF341HKI/@@download/ENCFF341HKI.bigWig
tsv,,microRNA quantifications,mm10,microRNA-seq,layer of hippocampus,tissue,Mus musculus,,,,,miRNA,2020-09-01,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF205VUV/@@download/ENCFF205VUV.tsv
